100 100  10  10 | sous_matrice1 |   0.000060
100 100  10  10 | sous_matrice2 |   0.000000
100 100  10  50 | sous_matrice1 |   0.000000
100 100  10  50 | sous_matrice2 |   0.000000
100 100  10 100 | sous_matrice1 |   0.000000
100 100  10 100 | sous_matrice2 |   0.000014
100 100  50  10 | sous_matrice1 |   0.000020
100 100  50  10 | sous_matrice2 |   0.000000
100 100  50  50 | sous_matrice1 |   0.000020
100 100  50  50 | sous_matrice2 |   0.000000
100 100  50 100 | sous_matrice1 |   0.000020
100 100  50 100 | sous_matrice2 |   0.000029
100 100 100  10 | sous_matrice1 |   0.000000
100 100 100  10 | sous_matrice2 |   0.000000
100 100 100  50 | sous_matrice1 |   0.000020
100 100 100  50 | sous_matrice2 |   0.000000
100 100 100 100 | sous_matrice1 |   0.000060
100 100 100 100 | sous_matrice2 |   0.000043
100 500  10  10 | sous_matrice1 |   0.000140
100 500  10  10 | sous_matrice2 |   0.000014
100 500  10  50 | sous_matrice1 |   0.000320
100 500  10  50 | sous_matrice2 |   0.000014
100 500  10 100 | sous_matrice1 |   0.000080
100 500  10 100 | sous_matrice2 |   0.000014
100 500  50  10 | sous_matrice1 |   0.000000
100 500  50  10 | sous_matrice2 |   0.000000
100 500  50  50 | sous_matrice1 |   0.000080
100 500  50  50 | sous_matrice2 |   0.000014
100 500  50 100 | sous_matrice1 |   0.000100
100 500  50 100 | sous_matrice2 |   0.000014
100 500 100  10 | sous_matrice1 |   0.000020
100 500 100  10 | sous_matrice2 |   0.000000
100 500 100  50 | sous_matrice1 |   0.000040
100 500 100  50 | sous_matrice2 |   0.000000
100 500 100 100 | sous_matrice1 |   0.000060
100 500 100 100 | sous_matrice2 |   0.000000
100 1000  10  10 | sous_matrice1 |   0.000400
100 1000  10  10 | sous_matrice2 |   0.000029
100 1000  10  50 | sous_matrice1 |   0.000680
100 1000  10  50 | sous_matrice2 |   0.000014
100 1000  10 100 | sous_matrice1 |   0.000320
100 1000  10 100 | sous_matrice2 |   0.000029
100 1000  50  10 | sous_matrice1 |   0.000240
100 1000  50  10 | sous_matrice2 |   0.000014
100 1000  50  50 | sous_matrice1 |   0.000120
100 1000  50  50 | sous_matrice2 |   0.000014
100 1000  50 100 | sous_matrice1 |   0.000360
100 1000  50 100 | sous_matrice2 |   0.000014
100 1000 100  10 | sous_matrice1 |   0.000020
100 1000 100  10 | sous_matrice2 |   0.000000
100 1000 100  50 | sous_matrice1 |   0.000020
100 1000 100  50 | sous_matrice2 |   0.000000
100 1000 100 100 | sous_matrice1 |   0.000060
100 1000 100 100 | sous_matrice2 |   0.000000
500 100  10  10 | sous_matrice1 |   0.000260
500 100  10  10 | sous_matrice2 |   0.000029
500 100  10  50 | sous_matrice1 |   0.000020
500 100  10  50 | sous_matrice2 |   0.000029
500 100  10 100 | sous_matrice1 |   0.000000
500 100  10 100 | sous_matrice2 |   0.000000
500 100  50  10 | sous_matrice1 |   0.000260
500 100  50  10 | sous_matrice2 |   0.000029
500 100  50  50 | sous_matrice1 |   0.000160
500 100  50  50 | sous_matrice2 |   0.000029
500 100  50 100 | sous_matrice1 |   0.000020
500 100  50 100 | sous_matrice2 |   0.000029
500 100 100  10 | sous_matrice1 |   0.000100
500 100 100  10 | sous_matrice2 |   0.000029
500 100 100  50 | sous_matrice1 |   0.000180
500 100 100  50 | sous_matrice2 |   0.000014
500 100 100 100 | sous_matrice1 |   0.000060
500 100 100 100 | sous_matrice2 |   0.000057
500 500  10  10 | sous_matrice1 |   0.001060
500 500  10  10 | sous_matrice2 |   0.000071
500 500  10  50 | sous_matrice1 |   0.000600
500 500  10  50 | sous_matrice2 |   0.000057
500 500  10 100 | sous_matrice1 |   0.000220
500 500  10 100 | sous_matrice2 |   0.000086
500 500  50  10 | sous_matrice1 |   0.000300
500 500  50  10 | sous_matrice2 |   0.000071
500 500  50  50 | sous_matrice1 |   0.001140
500 500  50  50 | sous_matrice2 |   0.000086
500 500  50 100 | sous_matrice1 |   0.000720
500 500  50 100 | sous_matrice2 |   0.000071
500 500 100  10 | sous_matrice1 |   0.001520
500 500 100  10 | sous_matrice2 |   0.000071
500 500 100  50 | sous_matrice1 |   0.000240
500 500 100  50 | sous_matrice2 |   0.000057
500 500 100 100 | sous_matrice1 |   0.000160
500 500 100 100 | sous_matrice2 |   0.000057
500 1000  10  10 | sous_matrice1 |   0.001120
500 1000  10  10 | sous_matrice2 |   0.000129
500 1000  10  50 | sous_matrice1 |   0.003000
500 1000  10  50 | sous_matrice2 |   0.000114
500 1000  10 100 | sous_matrice1 |   0.002220
500 1000  10 100 | sous_matrice2 |   0.000157
500 1000  50  10 | sous_matrice1 |   0.001960
500 1000  50  10 | sous_matrice2 |   0.000100
500 1000  50  50 | sous_matrice1 |   0.001580
500 1000  50  50 | sous_matrice2 |   0.000100
500 1000  50 100 | sous_matrice1 |   0.001660
500 1000  50 100 | sous_matrice2 |   0.000100
500 1000 100  10 | sous_matrice1 |   0.003080
500 1000 100  10 | sous_matrice2 |   0.000100
500 1000 100  50 | sous_matrice1 |   0.002420
500 1000 100  50 | sous_matrice2 |   0.000086
500 1000 100 100 | sous_matrice1 |   0.000420
500 1000 100 100 | sous_matrice2 |   0.000100
1000 100  10  10 | sous_matrice1 |   0.000100
1000 100  10  10 | sous_matrice2 |   0.000071
1000 100  10  50 | sous_matrice1 |   0.000400
1000 100  10  50 | sous_matrice2 |   0.000057
1000 100  10 100 | sous_matrice1 |   0.000000
1000 100  10 100 | sous_matrice2 |   0.000000
