A1 | N = 857 - T = 0.000000 - Premier? = 1
A1 | N = 362 - T = 0.000000 - Premier? = 0
A1 | N = 499 - T = 0.000000 - Premier? = 1
A1 | N = 612 - T = 0.000000 - Premier? = 0
A1 | N = 431 - T = 0.000000 - Premier? = 1
A1 | N = 307 - T = 0.000020 - Premier? = 1
A1 | N = 938 - T = 0.000000 - Premier? = 0
A1 | N = 467 - T = 0.000000 - Premier? = 1
A1 | N = 233 - T = 0.000000 - Premier? = 1
A1 | N = 719 - T = 0.000020 - Premier? = 1
A1 | N = 115237 - T = 0.000820 - Premier? = 1
A1 | N = 103291 - T = 0.000720 - Premier? = 1
A1 | N = 118529 - T = 0.000840 - Premier? = 1
A1 | N = 114863 - T = 0.000000 - Premier? = 0
A1 | N = 119003 - T = 0.000000 - Premier? = 0
A1 | N = 111739 - T = 0.000000 - Premier? = 0
A1 | N = 126409 - T = 0.000000 - Premier? = 0
A1 | N = 115049 - T = 0.000000 - Premier? = 0
A1 | N = 125809 - T = 0.000000 - Premier? = 0
A1 | N = 127613 - T = 0.000000 - Premier? = 0
A1 | N = 100013057 - T = 0.000000 - Premier? = 0
A1 | N = 100004189 - T = 0.705620 - Premier? = 1
A1 | N = 100029283 - T = 0.000020 - Premier? = 0
A1 | N = 100024747 - T = 0.704280 - Premier? = 1
A1 | N = 100017587 - T = 0.000020 - Premier? = 0
A1 | N = 100002299 - T = 0.000000 - Premier? = 0
A1 | N = 100013951 - T = 0.000000 - Premier? = 0
A1 | N = 100008293 - T = 0.000000 - Premier? = 0
A1 | N = 100007903 - T = 0.704680 - Premier? = 1
A1 | N = 100030313 - T = 0.703960 - Premier? = 1
