A2 | N = 857 - T = 0.000000 - Premier? = 1
A2 | N = 362 - T = 0.000000 - Premier? = 0
A2 | N = 499 - T = 0.000000 - Premier? = 1
A2 | N = 612 - T = 0.000000 - Premier? = 0
A2 | N = 431 - T = 0.000000 - Premier? = 1
A2 | N = 307 - T = 0.000000 - Premier? = 1
A2 | N = 938 - T = 0.000000 - Premier? = 0
A2 | N = 467 - T = 0.000000 - Premier? = 1
A2 | N = 233 - T = 0.000000 - Premier? = 1
A2 | N = 719 - T = 0.000000 - Premier? = 1
A2 | N = 115237 - T = 0.000420 - Premier? = 1
A2 | N = 103291 - T = 0.000380 - Premier? = 1
A2 | N = 118529 - T = 0.000420 - Premier? = 1
A2 | N = 114863 - T = 0.000000 - Premier? = 0
A2 | N = 119003 - T = 0.000000 - Premier? = 0
A2 | N = 111739 - T = 0.000000 - Premier? = 0
A2 | N = 126409 - T = 0.000000 - Premier? = 0
A2 | N = 115049 - T = 0.000000 - Premier? = 0
A2 | N = 125809 - T = 0.000000 - Premier? = 0
A2 | N = 127613 - T = 0.000000 - Premier? = 0
A2 | N = 100013057 - T = 0.000000 - Premier? = 0
A2 | N = 100004189 - T = 0.362880 - Premier? = 1
A2 | N = 100029283 - T = 0.000020 - Premier? = 0
A2 | N = 100024747 - T = 0.363080 - Premier? = 1
A2 | N = 100017587 - T = 0.000000 - Premier? = 0
A2 | N = 100002299 - T = 0.000000 - Premier? = 0
A2 | N = 100013951 - T = 0.000000 - Premier? = 0
A2 | N = 100008293 - T = 0.000000 - Premier? = 0
A2 | N = 100007903 - T = 0.369380 - Premier? = 1
A2 | N = 100030313 - T = 0.364480 - Premier? = 1
